n, m, RCL, iterations, tiempoTotal
5440, 4950, 3, 20, 46645566
5470, 4950, 3, 20, 47003661
5500, 4950, 3, 20, 44414716
5530, 4950, 3, 20, 47699759
5560, 4950, 3, 20, 47994881
5590, 4950, 3, 20, 48373395
5620, 4950, 3, 20, 48191521
5650, 4950, 3, 20, 48197944
5680, 4950, 3, 20, 45924475
5710, 4950, 3, 20, 49923401
5740, 4950, 3, 20, 51172718
5770, 4950, 3, 20, 51844772
5800, 4950, 3, 20, 50598491
5830, 4950, 3, 20, 51440010
5860, 4950, 3, 20, 51502561
5890, 4950, 3, 20, 51248087
5920, 4950, 3, 20, 51886332
5950, 4950, 3, 20, 52110966
5980, 4950, 3, 20, 52926387
6010, 4950, 3, 20, 51844968
6040, 4950, 3, 20, 52093422
6070, 4950, 3, 20, 52323520
6100, 4950, 3, 20, 51945674
6130, 4950, 3, 20, 53697895
6160, 4950, 3, 20, 53834701
6190, 4950, 3, 20, 53813490
6220, 4950, 3, 20, 55185153
6250, 4950, 3, 20, 55313168
6280, 4950, 3, 20, 53979032
6310, 4950, 3, 20, 55886050
6340, 4950, 3, 20, 52267816
6370, 4950, 3, 20, 56296359
6400, 4950, 3, 20, 57159359
6430, 4950, 3, 20, 56551895
6460, 4950, 3, 20, 56431054
6490, 4950, 3, 20, 57527251
6520, 4950, 3, 20, 58508988
6550, 4950, 3, 20, 58943121
6580, 4950, 3, 20, 58423907
6610, 4950, 3, 20, 58476476
6640, 4950, 3, 20, 55932227
6670, 4950, 3, 20, 59963986
6700, 4950, 3, 20, 61593479
6730, 4950, 3, 20, 58878904
6760, 4950, 3, 20, 60732152
6790, 4950, 3, 20, 59698074
6820, 4950, 3, 20, 59970562
6850, 4950, 3, 20, 63699907
6880, 4950, 3, 20, 61025648
6910, 4950, 3, 20, 60536952
6940, 4950, 3, 20, 61045559
6970, 4950, 3, 20, 61937103
7000, 4950, 3, 20, 62096412
7030, 4950, 3, 20, 63899572
7060, 4950, 3, 20, 63341018
7090, 4950, 3, 20, 63819931
7120, 4950, 3, 20, 63995569
7150, 4950, 3, 20, 63794677
7180, 4950, 3, 20, 64518898
7210, 4950, 3, 20, 63339454
7240, 4950, 3, 20, 64536760
7270, 4950, 3, 20, 65500916
7300, 4950, 3, 20, 65720397
7330, 4950, 3, 20, 65103668
7360, 4950, 3, 20, 67593563
7390, 4950, 3, 20, 66486130
7420, 4950, 3, 20, 66903718
7450, 4950, 3, 20, 66870850
7480, 4950, 3, 20, 66728098
7510, 4950, 3, 20, 70989269
7540, 4950, 3, 20, 73255066
7570, 4950, 3, 20, 67853849
7600, 4950, 3, 20, 83201560
7630, 4950, 3, 20, 68502925
7660, 4950, 3, 20, 69255640
7690, 4950, 3, 20, 69714256
7720, 4950, 3, 20, 68550797
7750, 4950, 3, 20, 69714624
7780, 4950, 3, 20, 69596866
7810, 4950, 3, 20, 70311852
7840, 4950, 3, 20, 71002216
7870, 4950, 3, 20, 70842645
7900, 4950, 3, 20, 71610350
7930, 4950, 3, 20, 70943617
7960, 4950, 3, 20, 73431423
7990, 4950, 3, 20, 72924681
8020, 4950, 3, 20, 73184116
8050, 4950, 3, 20, 73273771
8080, 4950, 3, 20, 75093226
8110, 4950, 3, 20, 75220853
8140, 4950, 3, 20, 73783424
8170, 4950, 3, 20, 74058303
8200, 4950, 3, 20, 74471839
8230, 4950, 3, 20, 75769315
8260, 4950, 3, 20, 75651852
8290, 4950, 3, 20, 75243874
8320, 4950, 3, 20, 75465211
8350, 4950, 3, 20, 75637265
8380, 4950, 3, 20, 76631467
8410, 4950, 3, 20, 75988248
8440, 4950, 3, 20, 77023373
8470, 4950, 3, 20, 77709571
8500, 4950, 3, 20, 78423487
8530, 4950, 3, 20, 79102660
8560, 4950, 3, 20, 78158051
8590, 4950, 3, 20, 79024302
8620, 4950, 3, 20, 80284334
8650, 4950, 3, 20, 78923340
8680, 4950, 3, 20, 79989054
8710, 4950, 3, 20, 81103159
8740, 4950, 3, 20, 80685134
8770, 4950, 3, 20, 80591464
8800, 4950, 3, 20, 81008897
8830, 4950, 3, 20, 81272746
8860, 4950, 3, 20, 82918593
8890, 4950, 3, 20, 83548470
8920, 4950, 3, 20, 82555957
8950, 4950, 3, 20, 84487524
8980, 4950, 3, 20, 85309680
9010, 4950, 3, 20, 84155732
9040, 4950, 3, 20, 84587234
9070, 4950, 3, 20, 86636142
9100, 4950, 3, 20, 85688652
9130, 4950, 3, 20, 86008889
9160, 4950, 3, 20, 86587126
9190, 4950, 3, 20, 85960078
9220, 4950, 3, 20, 87466071
9250, 4950, 3, 20, 86870034
9280, 4950, 3, 20, 86812480
9310, 4950, 3, 20, 86276235
9340, 4950, 3, 20, 87638205
9370, 4950, 3, 20, 88704582
9400, 4950, 3, 20, 88510463
9430, 4950, 3, 20, 91051308
9460, 4950, 3, 20, 89327482
9490, 4950, 3, 20, 88223750
9520, 4950, 3, 20, 89706597
9550, 4950, 3, 20, 88830337
9580, 4950, 3, 20, 88916655
9610, 4950, 3, 20, 90668443
9640, 4950, 3, 20, 91862715
9670, 4950, 3, 20, 90402366
9700, 4950, 3, 20, 91954306
9730, 4950, 3, 20, 91262827
9760, 4950, 3, 20, 91478306
9790, 4950, 3, 20, 91765309
9820, 4950, 3, 20, 94551404
9850, 4950, 3, 20, 93581841
9880, 4950, 3, 20, 94562483
9910, 4950, 3, 20, 95038982
9940, 4950, 3, 20, 95987696
9970, 4950, 3, 20, 95004151
10000, 4950, 3, 20, 95336480
