n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoExacto, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
25, 280, 147, 144, 146, 147, 3959366565, 41242, 3167, 2255175
25, 281, 148, 146, 148, 148, 5942765531, 36878, 2170, 2257058
25, 282, 149, 148, 149, 149, 6145377070, 37564, 2149, 2216758
25, 283, 151, 148, 150, 151, 7019861622, 56191, 2893, 2305268
25, 284, 150, 144, 149, 150, 8014988961, 39753, 2514, 2272142
25, 285, 150, 150, 150, 150, 8957960650, 37519, 1635, 2269699
25, 286, 152, 152, 152, 152, 11242969887, 37037, 1658, 2284985
25, 287, 153, 153, 153, 153, 16468853842, 37608, 1619, 2269580
25, 288, 154, 154, 154, 154, 18933902993, 37949, 1617, 2519840
25, 289, 153, 153, 153, 153, 19375925006, 56165, 1824, 2342211
25, 290, 154, 154, 154, 154, 18284866409, 37777, 1610, 2282389
25, 291, 155, 155, 155, 155, 26846017659, 38446, 1631, 2300149
25, 292, 156, 156, 156, 156, 30580627155, 38236, 1599, 2317638
25, 293, 156, 156, 156, 156, 49887936812, 43837, 1786, 2442593
25, 294, 156, 156, 156, 156, 48197141425, 39523, 1639, 2395371
25, 295, 156, 156, 156, 156, 62145907370, 39573, 1636, 2298693
