n, m, tiempoTotal
324, 0, 28813890
325, 0, 28584965
326, 0, 29892462
327, 0, 28758427
328, 0, 29530058
329, 0, 30520571
330, 0, 29954471
331, 0, 31060650
332, 0, 33367872
333, 0, 30899244
334, 0, 30126890
335, 0, 31635109
336, 0, 30274266
337, 0, 31085986
338, 0, 30365457
339, 0, 30609095
340, 0, 30535616
341, 0, 31546226
342, 0, 30950036
343, 0, 31413505
344, 0, 31247852
345, 0, 32029574
346, 0, 31759754
347, 0, 38575700
348, 0, 34982908
349, 0, 32684558
350, 0, 33733577
351, 0, 35227188
352, 0, 34855880
353, 0, 35998001
354, 0, 34806199
355, 0, 35256876
356, 0, 34489329
357, 0, 35468236
358, 0, 35871946
359, 0, 36242449
360, 0, 35885014
361, 0, 36954617
362, 0, 35733805
363, 0, 36274443
364, 0, 35235438
365, 0, 35845102
366, 0, 38496259
367, 0, 38261004
368, 0, 37506589
369, 0, 37852210
370, 0, 37888292
371, 0, 38804270
372, 0, 37696713
373, 0, 37220644
374, 0, 37973855
375, 0, 37112794
376, 0, 37132317
377, 0, 37801759
378, 0, 37762108
379, 0, 39154501
380, 0, 37980179
381, 0, 38436839
382, 0, 41254862
383, 0, 40816221
384, 0, 41000792
385, 0, 39899632
386, 0, 39443916
387, 0, 39514905
388, 0, 39796296
389, 0, 45434062
390, 0, 42279173
391, 0, 43135632
392, 0, 40343060
393, 0, 41239940
394, 0, 40783049
395, 0, 41338059
396, 0, 43115578
397, 0, 41980947
398, 0, 41737689
399, 0, 42458129
400, 0, 44795003
401, 0, 43503158
402, 0, 44669580
403, 0, 44927738
404, 0, 44657719
405, 0, 44576923
406, 0, 44398717
407, 0, 45317838
408, 0, 45383604
409, 0, 47169732
410, 0, 44878366
411, 0, 45533387
412, 0, 46543555
413, 0, 47709858
414, 0, 47747525
415, 0, 48763737
416, 0, 47605401
417, 0, 46877355
418, 0, 45992700
419, 0, 48957567
420, 0, 48267391
421, 0, 48866051
422, 0, 50596548
423, 0, 51937272
424, 0, 48906259
425, 0, 49419792
426, 0, 49605122
427, 0, 51838111
428, 0, 51729665
429, 0, 50123329
430, 0, 50532039
431, 0, 51478041
432, 0, 52648222
433, 0, 53191577
434, 0, 51757413
435, 0, 51090654
436, 0, 51579984
437, 0, 53495472
438, 0, 51668069
439, 0, 51076320
440, 0, 50914390
441, 0, 52901523
442, 0, 52178187
443, 0, 54982392
444, 0, 52530159
445, 0, 52321961
446, 0, 52380704
447, 0, 53009250
448, 0, 55360631
449, 0, 55396465
450, 0, 55107749
451, 0, 54694229
452, 0, 53728932
453, 0, 55519327
454, 0, 57006031
455, 0, 56135169
456, 0, 54943241
457, 0, 55335761
458, 0, 55349681
459, 0, 55943895
460, 0, 59145441
461, 0, 59144170
462, 0, 59855073
463, 0, 57748357
464, 0, 57770602
465, 0, 60000983
466, 0, 58282166
467, 0, 59072715
468, 0, 59329449
469, 0, 60942164
470, 0, 60160592
471, 0, 60233074
472, 0, 70606176
473, 0, 59119955
474, 0, 59847610
475, 0, 59479847
476, 0, 59776119
477, 0, 62506005
478, 0, 64363786
479, 0, 61538176
480, 0, 60726422
481, 0, 61554386
482, 0, 62529638
483, 0, 61593098
484, 0, 64692660
485, 0, 67059127
486, 0, 73077229
487, 0, 68669939
488, 0, 77488717
489, 0, 73571367
490, 0, 73881695
491, 0, 73536285
492, 0, 76950276
