n, m, tiempoTotal
200, 1690, 16412
200, 1695, 20345
200, 1700, 17565
200, 1705, 16198
200, 1710, 17112
200, 1715, 17667
200, 1720, 16803
200, 1725, 15535
200, 1730, 15162
200, 1735, 18283
200, 1740, 15702
200, 1745, 18602
200, 1750, 17718
200, 1755, 18720
200, 1760, 16128
200, 1765, 17622
200, 1770, 17130
200, 1775, 14717
200, 1780, 20455
200, 1785, 17315
200, 1790, 17892
200, 1795, 15303
200, 1800, 17584
200, 1805, 18170
200, 1810, 16467
200, 1815, 16453
200, 1820, 17988
200, 1825, 16622
200, 1830, 18142
200, 1835, 19064
200, 1840, 17836
200, 1845, 18408
200, 1850, 17700
200, 1855, 16382
200, 1860, 17473
200, 1865, 18861
200, 1870, 17749
200, 1875, 16147
200, 1880, 16356
200, 1885, 19392
200, 1890, 19585
200, 1895, 16436
200, 1900, 15205
200, 1905, 15321
200, 1910, 14599
200, 1915, 19270
200, 1920, 20977
200, 1925, 17416
200, 1930, 18793
200, 1935, 17624
200, 1940, 18477
200, 1945, 16538
200, 1950, 18073
200, 1955, 20577
200, 1960, 17113
200, 1965, 17130
200, 1970, 15445
200, 1975, 16718
200, 1980, 17390
200, 1985, 17719
200, 1990, 20563
200, 1995, 16586
200, 2000, 16581
200, 2005, 18833
200, 2010, 17964
200, 2015, 17703
200, 2020, 20837
200, 2025, 19561
200, 2030, 18771
200, 2035, 23223
200, 2040, 16645
200, 2045, 16873
200, 2050, 14996
200, 2055, 18777
200, 2060, 22510
200, 2065, 19658
200, 2070, 16776
200, 2075, 15991
200, 2080, 15973
200, 2085, 17413
200, 2090, 16196
200, 2095, 17546
200, 2100, 17386
200, 2105, 22122
200, 2110, 16260
200, 2115, 17131
200, 2120, 17749
200, 2125, 19997
200, 2130, 17121
200, 2135, 19804
200, 2140, 18210
200, 2145, 17284
200, 2150, 16842
200, 2155, 17983
200, 2160, 19757
200, 2165, 19761
200, 2170, 19391
200, 2175, 16065
200, 2180, 15015
200, 2185, 16879
200, 2190, 17938
200, 2195, 20544
200, 2200, 17592
200, 2205, 16678
200, 2210, 16620
200, 2215, 17984
200, 2220, 18053
200, 2225, 22344
200, 2230, 21412
200, 2235, 22484
200, 2240, 17901
200, 2245, 17413
200, 2250, 21440
200, 2255, 17996
200, 2260, 17324
200, 2265, 19379
200, 2270, 21034
200, 2275, 20262
200, 2280, 18821
200, 2285, 17119
200, 2290, 17279
200, 2295, 21245
200, 2300, 20040
200, 2305, 19162
200, 2310, 15450
200, 2315, 18279
200, 2320, 17774
200, 2325, 20650
200, 2330, 17487
200, 2335, 20146
200, 2340, 21335
200, 2345, 20408
200, 2350, 16574
200, 2355, 24837
200, 2360, 17192
200, 2365, 17946
200, 2370, 21210
200, 2375, 19928
200, 2380, 17919
200, 2385, 20278
200, 2390, 17633
200, 2395, 18725
200, 2400, 18974
200, 2405, 19953
200, 2410, 19662
200, 2415, 25461
200, 2420, 19394
200, 2425, 20011
200, 2430, 17964
200, 2435, 18978
200, 2440, 22225
200, 2445, 19206
200, 2450, 16393
200, 2455, 18775
200, 2460, 18951
200, 2465, 19623
200, 2470, 20137
200, 2475, 19341
200, 2480, 20977
200, 2485, 18647
200, 2490, 18707
200, 2495, 18025
200, 2500, 17713
200, 2505, 21593
200, 2510, 20437
200, 2515, 18570
200, 2520, 18567
200, 2525, 21401
200, 2530, 20562
200, 2535, 19896
200, 2540, 18342
200, 2545, 20760
200, 2550, 15553
200, 2555, 19225
200, 2560, 19086
200, 2565, 20189
200, 2570, 19619
200, 2575, 22716
200, 2580, 20415
200, 2585, 19252
200, 2590, 17455
200, 2595, 17692
200, 2600, 23455
200, 2605, 18199
200, 2610, 23541
200, 2615, 19800
200, 2620, 16830
200, 2625, 18959
200, 2630, 18263
200, 2635, 18929
200, 2640, 22766
200, 2645, 18866
200, 2650, 21506
200, 2655, 19539
200, 2660, 18603
200, 2665, 21379
200, 2670, 21290
200, 2675, 23095
200, 2680, 19502
200, 2685, 21170
200, 2690, 18308
200, 2695, 16715
200, 2700, 21963
200, 2705, 18309
200, 2710, 24153
200, 2715, 19071
200, 2720, 18436
200, 2725, 19516
200, 2730, 20387
200, 2735, 18900
200, 2740, 17964
200, 2745, 18023
200, 2750, 19816
200, 2755, 22038
200, 2760, 23079
200, 2765, 21889
200, 2770, 23001
200, 2775, 20376
200, 2780, 19459
200, 2785, 21084
200, 2790, 17581
200, 2795, 25683
200, 2800, 21366
200, 2805, 19136
200, 2810, 21784
200, 2815, 26296
200, 2820, 21580
200, 2825, 22914
200, 2830, 19627
200, 2835, 19702
200, 2840, 22637
200, 2845, 21431
200, 2850, 19384
200, 2855, 26937
200, 2860, 18348
200, 2865, 19628
200, 2870, 21193
200, 2875, 19653
200, 2880, 23334
200, 2885, 19764
200, 2890, 24643
200, 2895, 18974
200, 2900, 22110
200, 2905, 20379
200, 2910, 18622
200, 2915, 19295
200, 2920, 23017
200, 2925, 24437
