n, m, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
200, 6961, 263, 385, 516, 493336, 38697, 51334961
200, 6981, 243, 416, 503, 493279, 35229, 52400328
200, 7001, 272, 425, 499, 687697, 39152, 52044351
200, 7021, 270, 330, 507, 498783, 23132, 52627512
200, 7041, 302, 467, 500, 508858, 36477, 52112069
200, 7061, 269, 442, 505, 496772, 33674, 53117434
200, 7081, 306, 392, 518, 495921, 30365, 53111137
200, 7101, 271, 421, 524, 502777, 42080, 53484571
200, 7121, 290, 442, 523, 529407, 43691, 53102730
200, 7141, 283, 368, 516, 491203, 22978, 53009363
200, 7161, 324, 451, 534, 500155, 31459, 52679000
200, 7181, 296, 407, 537, 496806, 31792, 53338532
200, 7201, 329, 460, 522, 500440, 41797, 53372300
200, 7221, 271, 469, 514, 500267, 46834, 53936789
200, 7241, 297, 381, 508, 503191, 30038, 52217485
200, 7261, 292, 413, 524, 508710, 32788, 55045888
200, 7281, 311, 424, 527, 499566, 25045, 53786997
200, 7301, 301, 455, 550, 656058, 37684, 67209274
200, 7321, 312, 444, 539, 1293854, 38051, 78488966
200, 7341, 306, 486, 538, 1012179, 44599, 74997799
200, 7361, 297, 388, 537, 1374391, 25417, 72251802
200, 7381, 273, 443, 533, 680155, 44886, 64113883
200, 7401, 320, 442, 569, 1015065, 39668, 76929377
200, 7421, 273, 493, 554, 667492, 53945, 69380861
200, 7441, 342, 440, 564, 527554, 35270, 56892569
200, 7461, 324, 476, 575, 679570, 35573, 74589960
200, 7481, 313, 464, 550, 1009040, 50498, 97562339
200, 7501, 309, 489, 573, 715303, 43592, 63209268
200, 7521, 306, 410, 564, 1487695, 47147, 106087168
200, 7541, 314, 491, 579, 554736, 44650, 56958119
200, 7561, 345, 459, 563, 533105, 34700, 56953109
200, 7581, 296, 409, 599, 533086, 33738, 56162469
200, 7601, 307, 515, 559, 535854, 40818, 60718285
200, 7621, 305, 472, 529, 966521, 45365, 92996796
200, 7641, 318, 503, 584, 851446, 48138, 80269612
200, 7661, 303, 459, 563, 537986, 37890, 58386432
200, 7681, 343, 432, 616, 614062, 33765, 57524036
200, 7701, 341, 433, 599, 546058, 29798, 58603115
200, 7721, 309, 450, 578, 582067, 32682, 61300904
200, 7741, 361, 479, 616, 553428, 31552, 58951279
200, 7761, 326, 493, 558, 606284, 46246, 59799418
200, 7781, 327, 563, 619, 541848, 41233, 58143595
200, 7801, 317, 462, 604, 631859, 36399, 62548339
200, 7821, 328, 522, 619, 568736, 49139, 64707237
200, 7841, 324, 523, 577, 790130, 49167, 58144015
200, 7861, 324, 528, 615, 600028, 43750, 59687118
200, 7881, 338, 484, 580, 676032, 43854, 76102639
200, 7901, 328, 544, 619, 548396, 50739, 58932838
200, 7921, 347, 609, 648, 620168, 63855, 63435988
200, 7941, 316, 502, 620, 531653, 32141, 59728641
200, 7961, 344, 520, 605, 573279, 38534, 59150973
200, 7981, 347, 518, 638, 585298, 41123, 62643616
200, 8001, 353, 439, 625, 668751, 29644, 99160929
200, 8021, 375, 465, 636, 887663, 46389, 100165863
200, 8041, 329, 470, 606, 561360, 29431, 72490611
200, 8061, 369, 515, 663, 1076033, 41972, 81552241
200, 8081, 284, 438, 627, 1281155, 54263, 96404389
200, 8101, 342, 488, 663, 1156398, 35958, 76032927
200, 8121, 345, 490, 694, 557387, 37031, 61432762
200, 8141, 410, 580, 606, 663093, 48527, 63240835
200, 8161, 347, 570, 647, 660601, 44661, 67200322
200, 8181, 375, 572, 635, 555833, 40001, 62686325
200, 8201, 351, 553, 609, 585288, 40593, 66348207
200, 8221, 345, 519, 644, 559583, 30154, 62527090
200, 8241, 382, 537, 629, 654131, 49785, 65784486
200, 8261, 359, 536, 677, 583891, 44221, 65715023
200, 8281, 359, 523, 714, 595413, 30517, 63206031
200, 8301, 344, 580, 718, 700112, 46661, 64770849
200, 8321, 393, 561, 683, 577222, 45511, 62740447
200, 8341, 403, 581, 681, 683301, 42013, 65809421
200, 8361, 383, 593, 671, 764453, 35890, 69776609
200, 8381, 396, 547, 710, 632015, 44413, 74118752
200, 8401, 381, 564, 699, 575003, 39968, 64755025
200, 8421, 385, 533, 692, 693372, 42529, 68120642
200, 8441, 356, 601, 707, 1073077, 57863, 110268570
200, 8461, 365, 552, 669, 934792, 45265, 128985126
200, 8481, 371, 598, 697, 744354, 66964, 79762888
200, 8501, 365, 588, 690, 736360, 49520, 95042881
200, 8521, 350, 509, 721, 1069163, 61671, 117966291
200, 8541, 378, 563, 688, 950672, 50938, 87168735
200, 8561, 367, 604, 667, 1361969, 76789, 96722993
200, 8581, 378, 633, 700, 1033380, 66448, 106345018
200, 8601, 399, 629, 669, 1032175, 75620, 100072505
200, 8621, 365, 558, 712, 1695643, 44334, 106679723
200, 8641, 361, 574, 752, 1947618, 70366, 144638370
200, 8661, 358, 547, 696, 1389279, 53956, 109368937
200, 8681, 359, 577, 715, 2294691, 83532, 144652376
200, 8701, 366, 599, 711, 1078774, 48195, 88427535
200, 8721, 399, 618, 752, 938034, 54573, 97174380
200, 8741, 401, 586, 704, 719518, 53043, 79221779
200, 8761, 390, 603, 751, 1111580, 52556, 102882265
200, 8781, 423, 530, 734, 612546, 29584, 73322138
200, 8801, 417, 603, 730, 1520718, 50671, 102395163
200, 8821, 370, 558, 743, 1570783, 68507, 106968430
200, 8841, 417, 636, 757, 1459786, 52132, 109606564
200, 8861, 396, 588, 746, 745805, 40465, 88410912
200, 8881, 394, 618, 756, 1139975, 52885, 103174034
200, 8901, 395, 613, 792, 674900, 49439, 71781807
200, 8921, 378, 566, 762, 603873, 36744, 71245923
200, 8941, 376, 642, 776, 1580704, 62589, 131268017
200, 8961, 386, 688, 774, 2353658, 85636, 130362969
200, 8981, 393, 716, 820, 630951, 54675, 72239590
200, 9001, 376, 480, 778, 611861, 25994, 72589795
200, 9021, 443, 637, 749, 657512, 48771, 72444529
200, 9041, 392, 609, 774, 2070715, 66720, 127431866
200, 9061, 395, 645, 769, 1525554, 63370, 93867675
200, 9081, 430, 594, 785, 621593, 36364, 72164264
200, 9101, 426, 627, 763, 628251, 41849, 71339363
200, 9121, 454, 639, 771, 672123, 42208, 71226955
200, 9141, 381, 649, 803, 625390, 48991, 71697462
200, 9161, 401, 647, 815, 738704, 45753, 71288902
200, 9181, 425, 644, 807, 626673, 39948, 72176805
200, 9201, 382, 616, 816, 630491, 43658, 71820682
200, 9221, 397, 681, 806, 812498, 49386, 71195828
200, 9241, 409, 690, 787, 694612, 54340, 76401422
200, 9261, 417, 614, 831, 633821, 43855, 72238906
200, 9281, 396, 663, 868, 642409, 42395, 73927170
200, 9301, 456, 746, 799, 630445, 53284, 72362791
200, 9321, 432, 656, 866, 638620, 44587, 74912012
200, 9341, 396, 710, 834, 637605, 50561, 73228820
200, 9361, 428, 639, 843, 858444, 39275, 71678497
200, 9381, 380, 690, 845, 651838, 51507, 72531441
200, 9401, 424, 676, 880, 643909, 40118, 72393305
200, 9421, 394, 657, 863, 676906, 48719, 73308919
200, 9441, 398, 631, 866, 654598, 39303, 74173854
200, 9461, 423, 661, 820, 977608, 40763, 73672919
200, 9481, 432, 607, 841, 950008, 31043, 75407205
200, 9501, 421, 753, 904, 997000, 45379, 73549206
200, 9521, 406, 693, 847, 650622, 48819, 74765988
200, 9541, 478, 793, 866, 747209, 53957, 73240397
200, 9561, 426, 714, 856, 642644, 55283, 74161002
200, 9581, 437, 694, 869, 645119, 44919, 75708155
200, 9601, 471, 641, 838, 704725, 38851, 74750461
200, 9621, 422, 730, 920, 828580, 60251, 75422716
200, 9641, 468, 816, 904, 651536, 61312, 76015522
200, 9661, 453, 748, 908, 663558, 55628, 76084947
200, 9681, 462, 644, 873, 668996, 45862, 76495518
200, 9701, 447, 800, 890, 656764, 49809, 75730859
200, 9721, 436, 705, 888, 914425, 57238, 76532821
200, 9741, 420, 683, 874, 708248, 42389, 75605276
200, 9761, 414, 764, 880, 661797, 54064, 77198771
