n, m, RCL, iterations, tiempoTotal
5671, 0, 3, 20, 48417452
5701, 0, 3, 20, 48635098
5731, 0, 3, 20, 47221631
5761, 0, 3, 20, 48495644
5791, 0, 3, 20, 47982540
5821, 0, 3, 20, 47844329
5851, 0, 3, 20, 48379495
5881, 0, 3, 20, 54975719
5911, 0, 3, 20, 50072736
5941, 0, 3, 20, 49731854
5971, 0, 3, 20, 50618678
6001, 0, 3, 20, 49576731
6031, 0, 3, 20, 49806685
6061, 0, 3, 20, 50374674
6091, 0, 3, 20, 51071697
6121, 0, 3, 20, 50606405
6151, 0, 3, 20, 53140879
6181, 0, 3, 20, 50958758
6211, 0, 3, 20, 62663889
