n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
393, 77028, 38612, 38612, 38612, 38612, 13465430, 21284, 560413776
398, 79003, 39601, 39601, 39601, 39601, 12445700, 22817, 580025673
403, 81003, 40602, 40602, 40602, 40602, 12617761, 24539, 595408067
408, 83028, 41616, 41616, 41616, 41616, 14652669, 21926, 609429873
413, 85078, 42642, 42642, 42642, 42642, 14306766, 23636, 634251541
418, 87153, 43681, 43681, 43681, 43681, 14180605, 27094, 652362604
423, 89253, 44732, 44732, 44732, 44732, 15577172, 24867, 679833274
428, 91378, 45796, 45796, 45796, 45796, 15846097, 23312, 681629939
433, 93528, 46872, 46872, 46872, 46872, 15442793, 23463, 704291656
438, 95703, 47961, 47961, 47961, 47961, 17711074, 25682, 732597057
443, 97903, 49062, 49062, 49062, 49062, 17822829, 31372, 737002373
448, 100128, 50176, 50176, 50176, 50176, 19446206, 24991, 754700728
453, 102378, 51302, 51302, 51302, 51302, 19427514, 24525, 775127466
458, 104653, 52441, 52441, 52441, 52441, 19533144, 26753, 802277731
463, 106953, 53592, 53592, 53592, 53592, 19297561, 28858, 823236986
468, 109278, 54756, 54756, 54756, 54756, 22776107, 28909, 844257467
473, 111628, 55932, 55932, 55932, 55932, 21974555, 25890, 906073873
478, 114003, 57121, 57121, 57121, 57121, 34113868, 27204, 1011242880
483, 116403, 58322, 58322, 58322, 58322, 26370773, 34238, 975158637
488, 118828, 59536, 59536, 59536, 59536, 23317851, 26585, 975683966
493, 121278, 60762, 60762, 60762, 60762, 23709350, 27284, 995916159
498, 123753, 62001, 62001, 62001, 62001, 25173337, 29331, 1041605766
503, 126253, 63252, 63252, 63252, 63252, 23849294, 44145, 1049461745
508, 128778, 64516, 64516, 64516, 64516, 26754179, 29285, 1102212938
513, 131328, 65792, 65792, 65792, 65792, 27699937, 31370, 1142186427
518, 133903, 67081, 67081, 67081, 67081, 27789470, 31969, 1177405459
523, 136503, 68382, 68382, 68382, 68382, 27135397, 30453, 1176308112
528, 139128, 69696, 69696, 69696, 69696, 32268024, 28939, 1171840518
533, 141778, 71022, 71022, 71022, 71022, 30776177, 29361, 1271783796
538, 144453, 72361, 72361, 72361, 72361, 29471460, 33575, 1270447829
543, 147153, 73712, 73712, 73712, 73712, 30396098, 36012, 1267392126
548, 149878, 75076, 75076, 75076, 75076, 34592883, 32865, 1242814568
553, 152628, 76452, 76452, 76452, 76452, 33609633, 31642, 1264611147
558, 155403, 77841, 77841, 77841, 77841, 30941761, 32235, 1311342237
563, 158203, 79242, 79242, 79242, 79242, 32486548, 46567, 1399217124
568, 161028, 80656, 80656, 80656, 80656, 38553539, 31394, 1365209807
573, 163878, 82082, 82082, 82082, 82082, 33100437, 31626, 1385093411
578, 166753, 83521, 83521, 83521, 83521, 37064780, 36022, 1372259378
583, 169653, 84972, 84972, 84972, 84972, 37639670, 38869, 1402348404
588, 172578, 86436, 86436, 86436, 86436, 37617620, 32582, 1496840035
593, 175528, 87912, 87912, 87912, 87912, 38174467, 31927, 1449179253
598, 178503, 89401, 89401, 89401, 89401, 38810374, 34742, 1508919181
603, 181503, 90902, 90902, 90902, 90902, 43055080, 44798, 1601937000
608, 184528, 92416, 92416, 92416, 92416, 43177302, 33255, 1630851672
613, 187578, 93942, 93942, 93942, 93942, 42219654, 33868, 1580713848
618, 190653, 95481, 95481, 95481, 95481, 40519692, 36877, 1663359446
623, 193753, 97032, 97032, 97032, 97032, 42347497, 38670, 1640941610
628, 196878, 98596, 98596, 98596, 98596, 41929940, 34449, 1673853026
633, 200028, 100172, 100172, 100172, 100172, 51485167, 43515, 1756385267
638, 203203, 101761, 101761, 101761, 101761, 43330977, 36766, 1837005786
643, 206403, 103362, 103362, 103362, 103362, 44811286, 40592, 1749676006
648, 209628, 104976, 104976, 104976, 104976, 46494616, 35452, 1768869180
653, 212878, 106602, 106602, 106602, 106602, 47456233, 35259, 1761197746
658, 216153, 108241, 108241, 108241, 108241, 46497621, 37249, 1871836145
663, 219453, 109892, 109892, 109892, 109892, 58039510, 41558, 1922957855
668, 222778, 111556, 111556, 111556, 111556, 49951372, 37219, 1961363566
673, 226128, 113232, 113232, 113232, 113232, 49331667, 37226, 1952516516
678, 229503, 114921, 114921, 114921, 114921, 49250467, 37823, 1996563273
683, 232903, 116622, 116622, 116622, 116622, 52060130, 45615, 1994383473
688, 236328, 118336, 118336, 118336, 118336, 54540432, 37991, 2060489686
693, 239778, 120062, 120062, 120062, 120062, 53437841, 37239, 2127343045
698, 243253, 121801, 121801, 121801, 121801, 61992327, 44146, 2096887763
