n, m, tiempoTotal
6480, 0, 115632
6500, 0, 136154
6520, 0, 115502
6540, 0, 120482
6560, 0, 131627
6580, 0, 118526
6600, 0, 142755
6620, 0, 166249
6640, 0, 132224
6660, 0, 132427
6680, 0, 119962
6700, 0, 119137
6720, 0, 119655
6740, 0, 123874
6760, 0, 121733
6780, 0, 120617
6800, 0, 127324
6820, 0, 122406
6840, 0, 123112
6860, 0, 125181
6880, 0, 137520
6900, 0, 133478
6920, 0, 125199
6940, 0, 123863
6960, 0, 125457
6980, 0, 152009
7000, 0, 131327
7020, 0, 124709
7040, 0, 126205
7060, 0, 138680
7080, 0, 131508
7100, 0, 144962
7120, 0, 127113
7140, 0, 128789
7160, 0, 145573
7180, 0, 129137
7200, 0, 129967
7220, 0, 128735
7240, 0, 128427
7260, 0, 129443
7280, 0, 182390
7300, 0, 130087
7320, 0, 135867
7340, 0, 131762
7360, 0, 153496
7380, 0, 163160
7400, 0, 131699
7420, 0, 154803
7440, 0, 140639
7460, 0, 132186
7480, 0, 137107
7500, 0, 132914
7520, 0, 133711
7540, 0, 155491
7560, 0, 134899
7580, 0, 138363
7600, 0, 139878
7620, 0, 134867
7640, 0, 135081
7660, 0, 136984
7680, 0, 142924
7700, 0, 176489
7720, 0, 142163
7740, 0, 140964
7760, 0, 160166
7780, 0, 147223
7800, 0, 162757
7820, 0, 139688
7840, 0, 148177
7860, 0, 138874
7880, 0, 151548
7900, 0, 197466
7920, 0, 164294
7940, 0, 201887
7960, 0, 141886
7980, 0, 165683
8000, 0, 142108
8020, 0, 173177
8040, 0, 154668
8060, 0, 161107
8080, 0, 157288
8100, 0, 175294
8120, 0, 185549
8140, 0, 144724
8160, 0, 163930
8180, 0, 178059
8200, 0, 233723
8220, 0, 174248
8240, 0, 169053
8260, 0, 227830
8280, 0, 147655
8300, 0, 154426
8320, 0, 161911
8340, 0, 148121
8360, 0, 175237
8380, 0, 192576
8400, 0, 153084
8420, 0, 152355
8440, 0, 221939
8460, 0, 149434
8480, 0, 150343
8500, 0, 170030
8520, 0, 154964
8540, 0, 154685
8560, 0, 159946
8580, 0, 170566
8600, 0, 160521
8620, 0, 152668
8640, 0, 153175
8660, 0, 170346
8680, 0, 172366
8700, 0, 154686
8720, 0, 154585
8740, 0, 158096
8760, 0, 156362
8780, 0, 155559
8800, 0, 156594
8820, 0, 163029
8840, 0, 180385
8860, 0, 156427
8880, 0, 156699
8900, 0, 164042
8920, 0, 161399
8940, 0, 161738
8960, 0, 165323
8980, 0, 159080
9000, 0, 159619
9020, 0, 160396
9040, 0, 160036
9060, 0, 160174
9080, 0, 160155
9100, 0, 188876
9120, 0, 163018
9140, 0, 200030
9160, 0, 166390
9180, 0, 165807
9200, 0, 163340
9220, 0, 166357
9240, 0, 198799
9260, 0, 164024
9280, 0, 196168
9300, 0, 178145
9320, 0, 215518
9340, 0, 165440
9360, 0, 165375
9380, 0, 190588
9400, 0, 166708
9420, 0, 248648
9440, 0, 166976
9460, 0, 244248
9480, 0, 230420
9500, 0, 218848
